,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
4394,70.0,44.0,56.0,69.0,68.0,196217,70.0,51.0,44.0,68.0,56.0,69.0,69.0,66.0,69.0,55.0,CAM ,70.0,51.0,44.0,68.0,56.0,69.0,69.0,66.0,69.0,55.0,66.0
4395,70.0,53.0,58.0,70.0,67.0,208250,70.0,55.0,53.0,67.0,58.0,70.0,69.0,70.0,69.0,57.0,ST RM CAM ,70.0,55.0,53.0,67.0,58.0,70.0,69.0,70.0,69.0,57.0,70.0
4396,70.0,53.0,58.0,69.0,66.0,218746,70.0,58.0,53.0,66.0,58.0,69.0,68.0,66.0,69.0,60.0,RM ST CAM ,70.0,58.0,53.0,66.0,58.0,69.0,68.0,66.0,69.0,60.0,66.0
4397,68.0,49.0,53.0,69.0,63.0,219514,68.0,49.0,49.0,63.0,53.0,69.0,67.0,70.0,67.0,52.0,ST ,68.0,49.0,49.0,63.0,53.0,69.0,67.0,70.0,67.0,52.0,70.0
4398,70.0,56.0,61.0,68.0,67.0,230266,70.0,63.0,56.0,67.0,61.0,68.0,72.0,63.0,71.0,65.0,RB CAM ,70.0,63.0,56.0,67.0,61.0,68.0,72.0,63.0,71.0,65.0,63.0
4399,70.0,46.0,55.0,68.0,65.0,230522,70.0,57.0,46.0,65.0,55.0,68.0,72.0,63.0,71.0,60.0,CF CAM ,70.0,57.0,46.0,65.0,55.0,68.0,72.0,63.0,71.0,60.0,63.0
4400,69.0,52.0,58.0,69.0,66.0,173434,69.0,58.0,52.0,66.0,58.0,69.0,70.0,67.0,70.0,60.0,RM ,69.0,58.0,52.0,66.0,58.0,69.0,70.0,67.0,70.0,60.0,67.0
4401,70.0,52.0,61.0,68.0,70.0,192634,70.0,57.0,52.0,70.0,61.0,68.0,70.0,65.0,69.0,61.0,RM LM ,70.0,57.0,52.0,70.0,61.0,68.0,70.0,65.0,69.0,61.0,65.0
4402,,,,,,200059,,,,,,,,,,,GK ,,,,,,,,,,,
4403,58.0,70.0,68.0,56.0,62.0,165243,58.0,66.0,70.0,62.0,68.0,56.0,59.0,57.0,57.0,66.0,CB ,58.0,66.0,70.0,62.0,68.0,56.0,59.0,57.0,57.0,66.0,57.0
4404,70.0,45.0,51.0,70.0,64.0,189819,70.0,52.0,45.0,64.0,51.0,70.0,70.0,67.0,71.0,54.0,CAM RM ,70.0,52.0,45.0,64.0,51.0,70.0,70.0,67.0,71.0,54.0,67.0
4405,66.0,49.0,52.0,68.0,63.0,211068,66.0,51.0,49.0,63.0,52.0,68.0,66.0,70.0,66.0,53.0,LM ST ,66.0,51.0,49.0,63.0,52.0,68.0,66.0,70.0,66.0,53.0,70.0
4406,70.0,45.0,53.0,68.0,66.0,175996,70.0,52.0,45.0,66.0,53.0,68.0,70.0,63.0,70.0,56.0,CM CAM ,70.0,52.0,45.0,66.0,53.0,68.0,70.0,63.0,70.0,56.0,63.0
4407,67.0,53.0,56.0,69.0,64.0,168317,67.0,50.0,53.0,64.0,56.0,69.0,65.0,70.0,66.0,52.0,ST ,67.0,50.0,53.0,64.0,56.0,69.0,65.0,70.0,66.0,52.0,70.0
4408,71.0,62.0,66.0,69.0,70.0,188541,71.0,65.0,62.0,70.0,66.0,69.0,71.0,67.0,69.0,66.0,RB RM CM ,71.0,65.0,62.0,70.0,66.0,69.0,71.0,67.0,69.0,66.0,67.0
4409,64.0,38.0,40.0,67.0,54.0,189053,64.0,42.0,38.0,54.0,40.0,67.0,63.0,70.0,65.0,44.0,ST ,64.0,42.0,38.0,54.0,40.0,67.0,63.0,70.0,65.0,44.0,70.0
4410,62.0,71.0,71.0,61.0,66.0,143742,62.0,70.0,71.0,66.0,71.0,61.0,65.0,60.0,62.0,70.0,RB ,62.0,70.0,71.0,66.0,71.0,61.0,65.0,60.0,62.0,70.0,60.0
4411,71.0,54.0,62.0,69.0,70.0,229758,71.0,59.0,54.0,70.0,62.0,69.0,70.0,64.0,69.0,61.0,CM ,71.0,59.0,54.0,70.0,62.0,69.0,70.0,64.0,69.0,61.0,64.0
4412,69.0,44.0,51.0,70.0,63.0,192126,69.0,49.0,44.0,63.0,51.0,70.0,70.0,70.0,71.0,53.0,RM LM ,69.0,49.0,44.0,63.0,51.0,70.0,70.0,70.0,71.0,53.0,70.0
4413,64.0,70.0,70.0,62.0,67.0,196991,64.0,69.0,70.0,67.0,70.0,62.0,65.0,61.0,63.0,69.0,CM CDM ,64.0,69.0,70.0,67.0,70.0,62.0,65.0,61.0,63.0,69.0,61.0
4414,46.0,70.0,65.0,46.0,53.0,212607,46.0,61.0,70.0,53.0,65.0,46.0,44.0,52.0,42.0,58.0,CB ,46.0,61.0,70.0,53.0,65.0,46.0,44.0,52.0,42.0,58.0,52.0
4415,60.0,73.0,68.0,59.0,61.0,214911,60.0,70.0,73.0,61.0,68.0,59.0,62.0,59.0,61.0,69.0,CB LB ,60.0,70.0,73.0,61.0,68.0,59.0,62.0,59.0,61.0,69.0,59.0
4416,68.0,37.0,44.0,69.0,60.0,216447,68.0,49.0,37.0,60.0,44.0,69.0,70.0,66.0,71.0,53.0,CAM RM LM ,68.0,49.0,37.0,60.0,44.0,69.0,70.0,66.0,71.0,53.0,66.0
4417,70.0,64.0,68.0,68.0,70.0,225151,70.0,64.0,64.0,70.0,68.0,68.0,68.0,62.0,68.0,65.0,CAM CDM CM ,70.0,64.0,64.0,70.0,68.0,68.0,68.0,62.0,68.0,65.0,62.0
4418,,,,,,161663,,,,,,,,,,,GK ,,,,,,,,,,,
4419,57.0,70.0,69.0,54.0,62.0,169343,57.0,67.0,70.0,62.0,69.0,54.0,57.0,54.0,54.0,66.0,CB ,57.0,67.0,70.0,62.0,69.0,54.0,57.0,54.0,54.0,66.0,54.0
4420,69.0,36.0,48.0,67.0,63.0,233600,69.0,48.0,36.0,63.0,48.0,67.0,70.0,61.0,70.0,53.0,CAM LM RM ,69.0,48.0,36.0,63.0,48.0,67.0,70.0,61.0,70.0,53.0,61.0
4421,45.0,70.0,65.0,43.0,52.0,179840,45.0,66.0,70.0,52.0,65.0,43.0,47.0,44.0,43.0,63.0,CDM CB ,45.0,66.0,70.0,52.0,65.0,43.0,47.0,44.0,43.0,63.0,44.0
4422,67.0,67.0,69.0,65.0,69.0,192128,67.0,70.0,67.0,69.0,69.0,65.0,69.0,61.0,67.0,71.0,LB ,67.0,70.0,67.0,69.0,69.0,65.0,69.0,61.0,67.0,71.0,61.0
4423,70.0,56.0,63.0,69.0,69.0,224385,70.0,63.0,56.0,69.0,63.0,69.0,70.0,65.0,70.0,65.0,CDM CM CAM LM ,70.0,63.0,56.0,69.0,63.0,69.0,70.0,65.0,70.0,65.0,65.0
4424,73.0,49.0,57.0,73.0,69.0,163713,73.0,56.0,49.0,69.0,57.0,73.0,71.0,70.0,72.0,58.0,CF ST ,73.0,56.0,49.0,69.0,57.0,73.0,71.0,70.0,72.0,58.0,70.0
4425,64.0,45.0,46.0,67.0,56.0,201346,64.0,45.0,45.0,56.0,46.0,67.0,62.0,70.0,65.0,47.0,ST ,64.0,45.0,45.0,56.0,46.0,67.0,62.0,70.0,65.0,47.0,70.0
4426,57.0,72.0,68.0,57.0,60.0,207746,57.0,70.0,72.0,60.0,68.0,57.0,62.0,57.0,59.0,70.0,CB RB ,57.0,70.0,72.0,60.0,68.0,57.0,62.0,57.0,59.0,70.0,57.0
4427,66.0,70.0,70.0,65.0,67.0,230530,66.0,69.0,70.0,67.0,70.0,65.0,64.0,65.0,64.0,69.0,RB CDM ,66.0,69.0,70.0,67.0,70.0,65.0,64.0,65.0,64.0,69.0,65.0
4428,70.0,43.0,48.0,72.0,62.0,177282,70.0,51.0,43.0,62.0,48.0,72.0,70.0,70.0,72.0,54.0,CAM CF RM ,70.0,51.0,43.0,62.0,48.0,72.0,70.0,70.0,72.0,54.0,70.0
4429,64.0,68.0,67.0,64.0,64.0,230019,64.0,70.0,68.0,64.0,67.0,64.0,67.0,63.0,66.0,70.0,LB ,64.0,70.0,68.0,64.0,67.0,64.0,67.0,63.0,66.0,70.0,63.0
4430,70.0,40.0,50.0,69.0,66.0,230275,70.0,46.0,40.0,66.0,50.0,69.0,69.0,67.0,69.0,51.0,RM CAM ,70.0,46.0,40.0,66.0,50.0,69.0,69.0,67.0,69.0,51.0,67.0
4431,67.0,40.0,43.0,69.0,59.0,205188,67.0,44.0,40.0,59.0,43.0,69.0,67.0,70.0,68.0,47.0,ST ,67.0,44.0,40.0,59.0,43.0,69.0,67.0,70.0,68.0,47.0,70.0
4432,,,,,,164484,,,,,,,,,,,GK ,,,,,,,,,,,
4433,70.0,44.0,57.0,68.0,70.0,236164,70.0,51.0,44.0,70.0,57.0,68.0,69.0,65.0,68.0,56.0,CM CAM ,70.0,51.0,44.0,70.0,57.0,68.0,69.0,65.0,68.0,56.0,65.0
4434,69.0,69.0,72.0,67.0,71.0,183940,69.0,70.0,69.0,71.0,72.0,67.0,69.0,63.0,67.0,71.0,LB CDM RB ,69.0,70.0,69.0,71.0,72.0,67.0,69.0,63.0,67.0,71.0,63.0
4435,68.0,48.0,53.0,70.0,63.0,176773,68.0,55.0,48.0,63.0,53.0,70.0,70.0,69.0,70.0,58.0,RM ST LM ,68.0,55.0,48.0,63.0,53.0,70.0,70.0,69.0,70.0,58.0,69.0
4436,57.0,70.0,68.0,55.0,63.0,187013,57.0,66.0,70.0,63.0,68.0,55.0,57.0,55.0,54.0,65.0,CB ,57.0,66.0,70.0,63.0,68.0,55.0,57.0,55.0,54.0,65.0,55.0
4437,68.0,62.0,62.0,69.0,65.0,189573,68.0,63.0,62.0,65.0,62.0,69.0,69.0,70.0,70.0,64.0,RM LM ST ,68.0,63.0,62.0,65.0,62.0,69.0,69.0,70.0,70.0,64.0,70.0
4438,70.0,49.0,54.0,70.0,65.0,199302,70.0,54.0,49.0,65.0,54.0,70.0,70.0,70.0,71.0,57.0,CAM ,70.0,54.0,49.0,65.0,54.0,70.0,70.0,70.0,71.0,57.0,70.0
4439,68.0,52.0,56.0,69.0,63.0,202374,68.0,62.0,52.0,63.0,56.0,69.0,70.0,66.0,71.0,63.0,LW RW ,68.0,62.0,52.0,63.0,56.0,69.0,70.0,66.0,71.0,63.0,66.0
4440,69.0,62.0,62.0,70.0,65.0,176007,69.0,64.0,62.0,65.0,62.0,70.0,70.0,68.0,70.0,65.0,CAM LM RM ,69.0,64.0,62.0,65.0,62.0,70.0,70.0,68.0,70.0,65.0,68.0
4441,55.0,70.0,66.0,55.0,58.0,204936,55.0,67.0,70.0,58.0,66.0,55.0,58.0,58.0,56.0,66.0,CB ,55.0,67.0,70.0,58.0,66.0,55.0,58.0,58.0,56.0,66.0,58.0
4442,,,,,,178312,,,,,,,,,,,GK ,,,,,,,,,,,
4443,46.0,70.0,64.0,46.0,51.0,172425,46.0,62.0,70.0,51.0,64.0,46.0,48.0,48.0,45.0,59.0,CB ,46.0,62.0,70.0,51.0,64.0,46.0,48.0,48.0,45.0,59.0,48.0
4444,70.0,45.0,54.0,69.0,66.0,175753,70.0,51.0,45.0,66.0,54.0,69.0,70.0,64.0,70.0,55.0,RM LM ,70.0,51.0,45.0,66.0,54.0,69.0,70.0,64.0,70.0,55.0,64.0
4445,70.0,57.0,62.0,70.0,69.0,177802,70.0,60.0,57.0,69.0,62.0,70.0,68.0,67.0,69.0,62.0,CF CM ST CAM ,70.0,60.0,57.0,69.0,62.0,70.0,68.0,67.0,69.0,62.0,67.0
4446,70.0,55.0,59.0,71.0,67.0,204171,70.0,58.0,55.0,67.0,59.0,71.0,70.0,71.0,70.0,60.0,ST CAM ,70.0,58.0,55.0,67.0,59.0,71.0,70.0,71.0,70.0,60.0,71.0
4447,42.0,70.0,62.0,41.0,49.0,205451,42.0,60.0,70.0,49.0,62.0,41.0,42.0,45.0,39.0,57.0,CB ,42.0,60.0,70.0,49.0,62.0,41.0,42.0,45.0,39.0,57.0,45.0
4448,61.0,43.0,43.0,65.0,54.0,212107,61.0,40.0,43.0,54.0,43.0,65.0,58.0,70.0,61.0,41.0,ST ,61.0,40.0,43.0,54.0,43.0,65.0,58.0,70.0,61.0,41.0,70.0
4449,64.0,38.0,43.0,67.0,57.0,228748,64.0,42.0,38.0,57.0,43.0,67.0,64.0,70.0,66.0,45.0,ST ,64.0,42.0,38.0,57.0,43.0,67.0,64.0,70.0,66.0,45.0,70.0
4450,67.0,73.0,70.0,67.0,68.0,184972,67.0,67.0,73.0,68.0,70.0,67.0,66.0,70.0,66.0,67.0,CB CM CDM ,67.0,67.0,73.0,68.0,70.0,67.0,66.0,70.0,66.0,67.0,70.0
4451,65.0,68.0,67.0,65.0,65.0,221582,65.0,70.0,68.0,65.0,67.0,65.0,68.0,65.0,66.0,70.0,RB ,65.0,70.0,68.0,65.0,67.0,65.0,68.0,65.0,66.0,70.0,65.0
4452,43.0,70.0,61.0,45.0,47.0,224142,43.0,62.0,70.0,47.0,61.0,45.0,42.0,49.0,42.0,58.0,CB ,43.0,62.0,70.0,47.0,61.0,45.0,42.0,49.0,42.0,58.0,49.0
4453,,,,,,120718,,,,,,,,,,,GK ,,,,,,,,,,,
4454,66.0,72.0,71.0,67.0,70.0,137359,66.0,67.0,72.0,70.0,71.0,67.0,66.0,69.0,64.0,67.0,CAM CB CM ,66.0,67.0,72.0,70.0,71.0,67.0,66.0,69.0,64.0,67.0,69.0
4455,68.0,53.0,60.0,68.0,66.0,214671,68.0,62.0,53.0,66.0,60.0,68.0,70.0,66.0,70.0,65.0,RM LM ,68.0,62.0,53.0,66.0,60.0,68.0,70.0,66.0,70.0,65.0,66.0
4456,63.0,70.0,69.0,62.0,66.0,150415,63.0,69.0,70.0,66.0,69.0,62.0,64.0,62.0,63.0,68.0,RB CB ,63.0,69.0,70.0,66.0,69.0,62.0,64.0,62.0,63.0,68.0,62.0
4457,52.0,70.0,70.0,50.0,59.0,231823,52.0,66.0,70.0,59.0,70.0,50.0,53.0,49.0,50.0,64.0,CB ,52.0,66.0,70.0,59.0,70.0,50.0,53.0,49.0,50.0,64.0,49.0
4458,70.0,58.0,62.0,69.0,67.0,236175,70.0,60.0,58.0,67.0,62.0,69.0,67.0,67.0,68.0,61.0,CAM ,70.0,60.0,58.0,67.0,62.0,69.0,67.0,67.0,68.0,61.0,67.0
4459,58.0,70.0,68.0,56.0,61.0,193679,58.0,68.0,70.0,61.0,68.0,56.0,60.0,54.0,58.0,67.0,CB ,58.0,68.0,70.0,61.0,68.0,56.0,60.0,54.0,58.0,67.0,54.0
4460,55.0,70.0,65.0,57.0,57.0,211856,55.0,68.0,70.0,57.0,65.0,57.0,59.0,59.0,57.0,67.0,RB CB ,55.0,68.0,70.0,57.0,65.0,57.0,59.0,59.0,57.0,67.0,59.0
4461,68.0,48.0,53.0,69.0,65.0,199569,68.0,52.0,48.0,65.0,53.0,69.0,68.0,70.0,69.0,54.0,ST ,68.0,52.0,48.0,65.0,53.0,69.0,68.0,70.0,69.0,54.0,70.0
4462,69.0,42.0,47.0,71.0,61.0,210321,69.0,47.0,42.0,61.0,47.0,71.0,69.0,70.0,71.0,50.0,ST LW ,69.0,47.0,42.0,61.0,47.0,71.0,69.0,70.0,71.0,50.0,70.0
4463,70.0,44.0,52.0,70.0,66.0,199058,70.0,52.0,44.0,66.0,52.0,70.0,70.0,69.0,70.0,55.0,CM CAM LM RM ,70.0,52.0,44.0,66.0,52.0,70.0,70.0,69.0,70.0,55.0,69.0
4464,68.0,38.0,44.0,70.0,60.0,204690,68.0,45.0,38.0,60.0,44.0,70.0,68.0,70.0,69.0,48.0,ST ,68.0,45.0,38.0,60.0,44.0,70.0,68.0,70.0,69.0,48.0,70.0
4465,69.0,42.0,49.0,70.0,63.0,231826,69.0,50.0,42.0,63.0,49.0,70.0,71.0,69.0,71.0,53.0,LW RM RW ,69.0,50.0,42.0,63.0,49.0,70.0,71.0,69.0,71.0,53.0,69.0
4466,,,,,,234898,,,,,,,,,,,GK ,,,,,,,,,,,
4467,62.0,69.0,67.0,62.0,62.0,152723,62.0,70.0,69.0,62.0,67.0,62.0,64.0,61.0,63.0,69.0,RM RB LB ,62.0,70.0,69.0,62.0,67.0,62.0,64.0,61.0,63.0,69.0,61.0
4468,65.0,66.0,67.0,64.0,65.0,220051,65.0,70.0,66.0,65.0,67.0,64.0,67.0,61.0,66.0,71.0,LB RB ,65.0,70.0,66.0,65.0,67.0,64.0,67.0,61.0,66.0,71.0,61.0
4469,70.0,38.0,48.0,69.0,63.0,231571,70.0,48.0,38.0,63.0,48.0,69.0,70.0,65.0,71.0,52.0,CAM ,70.0,48.0,38.0,63.0,48.0,69.0,70.0,65.0,71.0,52.0,65.0
4470,71.0,47.0,57.0,70.0,69.0,176019,71.0,55.0,47.0,69.0,57.0,70.0,70.0,67.0,70.0,59.0,CF CAM LM ,71.0,55.0,47.0,69.0,57.0,70.0,70.0,67.0,70.0,59.0,67.0
4471,46.0,70.0,64.0,47.0,51.0,188563,46.0,64.0,70.0,51.0,64.0,47.0,49.0,52.0,47.0,62.0,CB ,46.0,64.0,70.0,51.0,64.0,47.0,49.0,52.0,47.0,62.0,52.0
4472,,,,,,211348,,,,,,,,,,,GK ,,,,,,,,,,,
4473,68.0,41.0,47.0,70.0,60.0,227732,68.0,47.0,41.0,60.0,47.0,70.0,68.0,70.0,69.0,50.0,RW ST ,68.0,47.0,41.0,60.0,47.0,70.0,68.0,70.0,69.0,50.0,70.0
4474,71.0,40.0,47.0,72.0,62.0,230292,71.0,50.0,40.0,62.0,47.0,72.0,69.0,70.0,71.0,52.0,LW CF ST ,71.0,50.0,40.0,62.0,47.0,72.0,69.0,70.0,71.0,52.0,70.0
4475,62.0,47.0,47.0,66.0,57.0,192660,62.0,46.0,47.0,57.0,47.0,66.0,63.0,70.0,64.0,48.0,ST ,62.0,46.0,47.0,57.0,47.0,66.0,63.0,70.0,64.0,48.0,70.0
4476,60.0,73.0,70.0,58.0,63.0,194196,60.0,68.0,73.0,63.0,70.0,58.0,61.0,57.0,59.0,67.0,CB CDM ,60.0,68.0,73.0,63.0,70.0,58.0,61.0,57.0,59.0,67.0,57.0
4477,63.0,68.0,68.0,61.0,64.0,209301,63.0,70.0,68.0,64.0,68.0,61.0,67.0,56.0,65.0,71.0,LB ,63.0,70.0,68.0,64.0,68.0,61.0,67.0,56.0,65.0,71.0,56.0
4478,70.0,69.0,72.0,68.0,72.0,175253,70.0,70.0,69.0,72.0,72.0,68.0,71.0,65.0,69.0,72.0,LM CDM LB ,70.0,70.0,69.0,72.0,72.0,68.0,71.0,65.0,69.0,72.0,65.0
4479,60.0,70.0,67.0,61.0,62.0,180629,60.0,68.0,70.0,62.0,67.0,61.0,61.0,64.0,61.0,67.0,CB ,60.0,68.0,70.0,62.0,67.0,61.0,61.0,64.0,61.0,67.0,64.0
4480,70.0,34.0,44.0,70.0,63.0,222358,70.0,45.0,34.0,63.0,44.0,70.0,70.0,66.0,71.0,50.0,LW CM CAM RW ,70.0,45.0,34.0,63.0,44.0,70.0,70.0,66.0,71.0,50.0,66.0
4481,54.0,70.0,66.0,52.0,57.0,190870,54.0,66.0,70.0,57.0,66.0,52.0,57.0,52.0,54.0,64.0,CB ,54.0,66.0,70.0,57.0,66.0,52.0,57.0,52.0,54.0,64.0,52.0
4482,65.0,69.0,70.0,65.0,67.0,199319,65.0,68.0,69.0,67.0,70.0,65.0,66.0,65.0,65.0,69.0,CDM ,65.0,68.0,69.0,67.0,70.0,65.0,66.0,65.0,65.0,69.0,65.0
4483,41.0,70.0,63.0,41.0,48.0,203159,41.0,62.0,70.0,48.0,63.0,41.0,43.0,45.0,40.0,58.0,CB ,41.0,62.0,70.0,48.0,63.0,41.0,43.0,45.0,40.0,58.0,45.0
4484,69.0,51.0,60.0,67.0,67.0,226711,69.0,60.0,51.0,67.0,60.0,67.0,70.0,60.0,69.0,63.0,CM RM ,69.0,60.0,51.0,67.0,60.0,67.0,70.0,60.0,69.0,63.0,60.0
4485,67.0,67.0,70.0,67.0,69.0,176023,67.0,70.0,67.0,69.0,70.0,67.0,70.0,65.0,68.0,70.0,LB ,67.0,70.0,67.0,69.0,70.0,67.0,70.0,65.0,68.0,70.0,65.0
4486,60.0,47.0,45.0,65.0,54.0,192663,60.0,45.0,47.0,54.0,45.0,65.0,59.0,70.0,61.0,46.0,ST ,60.0,45.0,47.0,54.0,45.0,65.0,59.0,70.0,61.0,46.0,70.0
4487,65.0,67.0,67.0,66.0,65.0,195479,65.0,70.0,67.0,65.0,67.0,66.0,68.0,66.0,68.0,70.0,RB ,65.0,70.0,67.0,65.0,67.0,66.0,68.0,66.0,68.0,70.0,66.0
4488,70.0,57.0,62.0,70.0,68.0,201368,70.0,60.0,57.0,68.0,62.0,70.0,69.0,69.0,69.0,62.0,CDM CAM ,70.0,60.0,57.0,68.0,62.0,70.0,69.0,69.0,69.0,62.0,69.0
4489,70.0,37.0,47.0,69.0,63.0,203672,70.0,47.0,37.0,63.0,47.0,69.0,72.0,67.0,71.0,52.0,CF CAM RW ,70.0,47.0,37.0,63.0,47.0,69.0,72.0,67.0,71.0,52.0,67.0
4490,,,,,,212632,,,,,,,,,,,GK ,,,,,,,,,,,
4491,70.0,45.0,57.0,67.0,68.0,165784,70.0,51.0,45.0,68.0,57.0,67.0,68.0,62.0,67.0,56.0,CDM LM CM CAM ,70.0,51.0,45.0,68.0,57.0,67.0,68.0,62.0,67.0,56.0,62.0
4492,42.0,70.0,63.0,41.0,49.0,178584,42.0,60.0,70.0,49.0,63.0,41.0,43.0,44.0,39.0,58.0,CB ,42.0,60.0,70.0,49.0,63.0,41.0,43.0,44.0,39.0,58.0,44.0
4493,,,,,,199833,,,,,,,,,,,GK ,,,,,,,,,,,
4494,44.0,70.0,63.0,43.0,50.0,203161,44.0,61.0,70.0,50.0,63.0,43.0,45.0,46.0,42.0,59.0,CB ,44.0,61.0,70.0,50.0,63.0,43.0,45.0,46.0,42.0,59.0,46.0
4495,71.0,52.0,62.0,66.0,70.0,233113,71.0,57.0,52.0,70.0,62.0,66.0,69.0,58.0,68.0,61.0,RM CAM CM ,71.0,57.0,52.0,70.0,62.0,66.0,69.0,58.0,68.0,61.0,58.0
4496,65.0,62.0,64.0,65.0,63.0,236441,65.0,70.0,62.0,63.0,64.0,65.0,69.0,61.0,67.0,71.0,LB RM RB ,65.0,70.0,62.0,63.0,64.0,65.0,69.0,61.0,67.0,71.0,61.0
4497,56.0,70.0,67.0,56.0,60.0,237209,56.0,64.0,70.0,60.0,67.0,56.0,56.0,58.0,54.0,62.0,CB ,56.0,64.0,70.0,60.0,67.0,56.0,56.0,58.0,54.0,62.0,58.0
4498,43.0,70.0,62.0,42.0,48.0,187033,43.0,60.0,70.0,48.0,62.0,42.0,44.0,45.0,42.0,58.0,CB ,43.0,60.0,70.0,48.0,62.0,42.0,44.0,45.0,42.0,58.0,45.0
4499,57.0,68.0,70.0,53.0,63.0,188825,57.0,67.0,68.0,63.0,70.0,53.0,57.0,48.0,54.0,67.0,CM CDM ,57.0,67.0,68.0,63.0,70.0,53.0,57.0,48.0,54.0,67.0,48.0
4500,,,,,,192665,,,,,,,,,,,GK ,,,,,,,,,,,
4501,52.0,70.0,64.0,52.0,54.0,198810,52.0,65.0,70.0,54.0,64.0,52.0,54.0,53.0,52.0,63.0,CB ,52.0,65.0,70.0,54.0,64.0,52.0,54.0,53.0,52.0,63.0,53.0
4502,64.0,67.0,68.0,63.0,65.0,228762,64.0,70.0,67.0,65.0,68.0,63.0,68.0,61.0,66.0,71.0,RB ,64.0,70.0,67.0,65.0,68.0,63.0,68.0,61.0,66.0,71.0,61.0
4503,69.0,67.0,70.0,67.0,71.0,232090,69.0,67.0,67.0,71.0,70.0,67.0,67.0,63.0,66.0,68.0,CAM CDM ,69.0,67.0,67.0,71.0,70.0,67.0,67.0,63.0,66.0,68.0,63.0
4504,66.0,41.0,45.0,69.0,58.0,190362,66.0,47.0,41.0,58.0,45.0,69.0,66.0,70.0,68.0,50.0,ST ,66.0,47.0,41.0,58.0,45.0,69.0,66.0,70.0,68.0,50.0,70.0
4505,,,,,,192922,,,,,,,,,,,GK ,,,,,,,,,,,
4506,71.0,65.0,69.0,70.0,71.0,226203,71.0,70.0,65.0,71.0,69.0,70.0,73.0,66.0,72.0,72.0,LM LB ,71.0,70.0,65.0,71.0,69.0,70.0,73.0,66.0,72.0,72.0,66.0
4507,70.0,33.0,46.0,69.0,63.0,235675,70.0,47.0,33.0,63.0,46.0,69.0,70.0,64.0,71.0,52.0,RM LM ,70.0,47.0,33.0,63.0,46.0,69.0,70.0,64.0,71.0,52.0,64.0
4508,68.0,69.0,70.0,68.0,69.0,173467,68.0,68.0,69.0,69.0,70.0,68.0,67.0,68.0,68.0,69.0,CM CDM ,68.0,68.0,69.0,69.0,70.0,68.0,67.0,68.0,68.0,69.0,68.0
4509,50.0,70.0,66.0,48.0,55.0,180635,50.0,63.0,70.0,55.0,66.0,48.0,50.0,49.0,48.0,61.0,CB ,50.0,63.0,70.0,55.0,66.0,48.0,50.0,49.0,48.0,61.0,49.0
4510,60.0,67.0,66.0,57.0,61.0,223388,60.0,70.0,67.0,61.0,66.0,57.0,64.0,53.0,61.0,70.0,RM LB RWB ,60.0,70.0,67.0,61.0,66.0,57.0,64.0,53.0,61.0,70.0,53.0
4511,69.0,61.0,66.0,68.0,70.0,235164,69.0,64.0,61.0,70.0,66.0,68.0,69.0,66.0,68.0,66.0,LM CM ,69.0,64.0,61.0,70.0,66.0,68.0,69.0,66.0,68.0,66.0,66.0
4512,51.0,70.0,63.0,48.0,55.0,181404,51.0,59.0,70.0,55.0,63.0,48.0,48.0,49.0,47.0,56.0,CB ,51.0,59.0,70.0,55.0,63.0,48.0,48.0,49.0,47.0,56.0,49.0
4513,72.0,46.0,55.0,70.0,70.0,157597,72.0,51.0,46.0,70.0,55.0,70.0,70.0,66.0,70.0,54.0,CAM LM CM ,72.0,51.0,46.0,70.0,55.0,70.0,70.0,66.0,70.0,54.0,66.0
4514,69.0,50.0,54.0,70.0,64.0,236189,69.0,52.0,50.0,64.0,54.0,70.0,67.0,70.0,68.0,54.0,ST ,69.0,52.0,50.0,64.0,54.0,70.0,67.0,70.0,68.0,54.0,70.0
4515,45.0,70.0,62.0,46.0,51.0,51101,45.0,59.0,70.0,51.0,62.0,46.0,43.0,51.0,43.0,55.0,CB ,45.0,59.0,70.0,51.0,62.0,46.0,43.0,51.0,43.0,55.0,51.0
4516,62.0,69.0,68.0,62.0,64.0,164766,62.0,70.0,69.0,64.0,68.0,62.0,65.0,61.0,64.0,71.0,LB ,62.0,70.0,69.0,64.0,68.0,62.0,65.0,61.0,64.0,71.0,61.0
4517,68.0,69.0,72.0,66.0,70.0,52126,68.0,68.0,69.0,70.0,72.0,66.0,66.0,63.0,65.0,69.0,CM ,68.0,68.0,69.0,70.0,72.0,66.0,66.0,63.0,65.0,69.0,63.0
4518,72.0,52.0,60.0,71.0,70.0,186270,72.0,57.0,52.0,70.0,60.0,71.0,72.0,68.0,71.0,60.0,CAM LW CM ,72.0,57.0,52.0,70.0,60.0,71.0,72.0,68.0,71.0,60.0,68.0
4519,67.0,65.0,65.0,68.0,66.0,194718,67.0,68.0,65.0,66.0,65.0,68.0,70.0,68.0,69.0,68.0,RM LM ,67.0,68.0,65.0,66.0,65.0,68.0,70.0,68.0,69.0,68.0,68.0
4520,64.0,68.0,67.0,65.0,63.0,176031,64.0,70.0,68.0,63.0,67.0,65.0,67.0,64.0,67.0,70.0,RB ,64.0,70.0,68.0,63.0,67.0,65.0,67.0,64.0,67.0,70.0,64.0
